+----+-----------------------+-----+-------------------------------+-------------------+-------------------+-------+
| K  |           C           | PCA |             Kernel            | minDCF (pi = 0.1) | minDCF (pi = 0.5) | Cprim |
| 10 |          10.0         |  0  |         RBF(γ = 0.01)         |       0.137       |       0.045       | 0.091 |
| 10 | 9.999999999999999e-05 |  0  | RBF(γ = 0.09999999999999999)  |       0.321       |       0.222       | 0.271 |
| 10 |         0.001         |  0  | RBF(γ = 0.09999999999999999)  |       0.323       |       0.222       | 0.272 |
| 10 |          0.01         |  0  | RBF(γ = 0.09999999999999999)  |       0.323       |       0.222       | 0.272 |
| 10 |  0.09999999999999999  |  0  | RBF(γ = 0.09999999999999999)  |       0.323       |       0.222       | 0.272 |
| 10 |          1.0          |  0  | RBF(γ = 0.09999999999999999)  |       0.323       |       0.222       | 0.272 |
| 10 |          10.0         |  0  | RBF(γ = 0.09999999999999999)  |        0.31       |       0.208       | 0.259 |
| 10 | 9.999999999999999e-05 |  0  |         RBF(γ = 1.0)          |        0.39       |       0.385       | 0.388 |
| 10 |         0.001         |  0  |         RBF(γ = 1.0)          |        0.39       |       0.383       | 0.386 |
| 10 |          0.01         |  0  |         RBF(γ = 1.0)          |        0.39       |       0.383       | 0.386 |
| 10 |  0.09999999999999999  |  0  |         RBF(γ = 1.0)          |       0.387       |       0.382       | 0.385 |
| 10 |          1.0          |  0  |         RBF(γ = 1.0)          |        0.39       |       0.384       | 0.387 |
| 10 |          10.0         |  0  |         RBF(γ = 1.0)          |       0.388       |       0.383       | 0.386 |
+----+-----------------------+-----+-------------------------------+-------------------+-------------------+-------+
