INFO - +---------------------+-----------------------+-----+-------------------------------+-------------------+-------------------+-------+
|          K          |           C           | PCA |             Kernel            | minDCF (pi = 0.1) | minDCF (pi = 0.5) | Cprim |
| 0.09999999999999999 |  0.09999999999999999  |  6  |        RBF(γ = 0.001)         |       0.324       |        0.11       | 0.217 |
| 0.09999999999999999 |          1.0          |  6  |        RBF(γ = 0.001)         |       0.261       |       0.092       | 0.176 |
| 0.09999999999999999 |          10.0         |  6  |        RBF(γ = 0.001)         |       0.252       |       0.082       | 0.167 |
| 0.09999999999999999 | 9.999999999999999e-05 |  6  |         RBF(γ = 0.01)         |       0.316       |       0.086       | 0.201 |
| 0.09999999999999999 |         0.001         |  6  |         RBF(γ = 0.01)         |       0.316       |       0.086       | 0.201 |
| 0.09999999999999999 |          0.01         |  6  |         RBF(γ = 0.01)         |       0.297       |       0.088       | 0.192 |
| 0.09999999999999999 |  0.09999999999999999  |  6  |         RBF(γ = 0.01)         |       0.231       |       0.078       | 0.155 |
| 0.09999999999999999 |          1.0          |  6  |         RBF(γ = 0.01)         |       0.232       |       0.073       | 0.152 |
| 0.09999999999999999 |          10.0         |  6  |         RBF(γ = 0.01)         |       0.186       |       0.065       | 0.126 |
| 0.09999999999999999 | 9.999999999999999e-05 |  6  | RBF(γ = 0.09999999999999999)  |       0.657       |       0.499       | 0.578 |
| 0.09999999999999999 |         0.001         |  6  | RBF(γ = 0.09999999999999999)  |       0.657       |       0.499       | 0.578 |
| 0.09999999999999999 |          0.01         |  6  | RBF(γ = 0.09999999999999999)  |       0.657       |       0.499       | 0.578 |
| 0.09999999999999999 |  0.09999999999999999  |  6  | RBF(γ = 0.09999999999999999)  |       0.562       |       0.378       |  0.47 |
| 0.09999999999999999 |          1.0          |  6  | RBF(γ = 0.09999999999999999)  |       0.186       |       0.045       | 0.115 |
| 0.09999999999999999 |          10.0         |  6  | RBF(γ = 0.09999999999999999)  |       0.171       |       0.045       | 0.108 |
| 0.09999999999999999 | 9.999999999999999e-05 |  6  |         RBF(γ = 1.0)          |       0.922       |       0.607       | 0.764 |
| 0.09999999999999999 |         0.001         |  6  |         RBF(γ = 1.0)          |       0.922       |       0.607       | 0.764 |
| 0.09999999999999999 |          0.01         |  6  |         RBF(γ = 1.0)          |       0.922       |       0.607       | 0.764 |
